Serial number,LOCATION,VISUAL.1,VISUAL.2,VISUAL.3,VISUAL.4,VISUAL.5,VISUAL.6,VISUAL.7,VISUAL.8,VISUAL.9,VISUAL.10,VISUAL.11,VISUAL.12,VISUAL.13,VISUAL.14,VISUAL.15,VISUAL.16,VISUAL.AMOUNT,AUDITORIAL.1,AUDITORIAL.2,AUDITORIAL.3,AUDITORIAL.4,AUDITORIAL.5,AUDITORIAL.6,AUDITORIAL.7,AUDITORIAL.8,AUDITORIAL.9,AUDITORIAL.10,AUDITORIAL.11,AUDITORIAL.12,AUDITORIAL.13,AUDITORIAL.14,AUDITORIAL.15,AUDITORIAL.16,AUDITORIAL.AMOUNT,KINESTHETIC.1,KINESTHETIC.2,KINESTHETIC.3,KINESTHETIC.4,KINESTHETIC.5,KINESTHETIC.6,KINESTHETIC.7,KINESTHETIC.8,KINESTHETIC.9,KINESTHETIC.10,KINESTHETIC.11,KINESTHETIC.12,KINESTHETIC.13,KINESTHETIC.14,KINESTHETIC.15,KINESTHETIC.16,KINESTHETIC.AMOUNT,FINAL,FINAL KLUE
1,YOGYAARTA DISTRICT,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,8,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,5,A,1
2,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,10,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,6,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,4,V,2
3,YOGYAARTA DISTRICT,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,7,V,2
4,YOGYAARTA DISTRICT,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,6,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,5,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,11,K,3
5,YOGYAARTA DISTRICT,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,8,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,7,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,8,V,2
6,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,10,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,5,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,7,V,2
7,YOGYAARTA DISTRICT,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,8,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,10,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,8,A,1
8,YOGYAARTA DISTRICT,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,12,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,11,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,6,K,3
9,YOGYAARTA DISTRICT,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,7,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,5,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,11,K,3
10,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,7,1,0,1,0,,1,0,1,1,0,0,1,0,0,0,0,6,1,1,1,1,0,1,1,,1,1,1,0,0,1,0,0,10,K,3
11,YOGYAARTA DISTRICT,0,1,1,,1,1,,1,1,1,0,0,1,0,0,0,8,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,9,V,2
